station_id,datetime_utc,o3_value,units
5610,2022-07-04T07:30:00Z,0.0166,ppm
5610,2022-07-04T08:30:00Z,0.0159,ppm
5610,2022-07-04T09:30:00Z,0.0156,ppm
5610,2022-07-04T10:30:00Z,0.0148,ppm
5610,2022-07-04T11:30:00Z,0.0156,ppm
5610,2022-07-04T12:30:00Z,0.00227,ppm
5610,2022-07-04T13:30:00Z,0.0148,ppm
5610,2022-07-04T14:30:00Z,0.0168,ppm
5610,2022-07-04T15:30:00Z,0.0176,ppm
5610,2022-07-04T16:30:00Z,0.0476,ppm
5610,2022-07-04T17:30:00Z,0.0367,ppm
5610,2022-07-04T18:30:00Z,0.0215,ppm
5610,2022-07-04T19:30:00Z,0.0165,ppm
5610,2022-07-04T20:30:00Z,0.0157,ppm
5610,2022-07-04T21:30:00Z,0.0143,ppm
5610,2022-07-04T22:30:00Z,0.0144,ppm
5610,2022-07-04T23:30:00Z,0.015,ppm
5610,2022-07-05T00:30:00Z,0.0159,ppm
5610,2022-07-05T01:30:00Z,0.0139,ppm
5610,2022-07-05T02:30:00Z,0.0194,ppm
5610,2022-07-05T03:30:00Z,0.0159,ppm
5610,2022-07-05T04:30:00Z,0.0141,ppm
5610,2022-07-05T05:30:00Z,0.017,ppm
5610,2022-07-05T06:30:00Z,0.0155,ppm
5610,2022-07-05T08:30:00Z,0.0151,ppm
5610,2022-07-05T09:30:00Z,0.016,ppm
5610,2022-07-05T10:30:00Z,0.0151,ppm
5610,2022-07-05T11:30:00Z,0.0152,ppm
5610,2022-07-05T12:30:00Z,0.015,ppm
5610,2022-07-05T13:30:00Z,0.0173,ppm
5610,2022-07-05T14:30:00Z,0.0145,ppm
5610,2022-07-05T15:30:00Z,0.0193,ppm
5610,2022-07-05T16:30:00Z,0.0152,ppm
5610,2022-07-05T17:30:00Z,0.0259,ppm
5610,2022-07-05T18:30:00Z,0.0197,ppm
5610,2022-07-05T19:30:00Z,0.0215,ppm
5610,2022-07-05T20:30:00Z,0.0262,ppm
5610,2022-07-05T21:30:00Z,0.0194,ppm
5610,2022-07-05T22:30:00Z,0.0153,ppm
5610,2022-07-05T23:30:00Z,0.0281,ppm
5610,2022-07-06T00:30:00Z,0.0171,ppm
5610,2022-07-07T03:30:00Z,0.0144,ppm
5610,2022-07-07T04:30:00Z,0.0149,ppm
5610,2022-07-07T05:30:00Z,0.0155,ppm
5610,2022-07-07T10:30:00Z,0.0127,ppm
5610,2022-07-07T11:30:00Z,0.014,ppm
5610,2022-07-07T12:30:00Z,0.0139,ppm
5610,2022-07-07T13:30:00Z,0.014,ppm
5610,2022-07-07T14:30:00Z,0.0135,ppm
5610,2022-07-07T15:30:00Z,0.0129,ppm
5610,2022-07-07T16:30:00Z,0.0141,ppm
5610,2022-07-07T17:30:00Z,0.0133,ppm
5610,2022-07-07T18:30:00Z,0.0126,ppm
5610,2022-07-07T19:30:00Z,0.015,ppm
5610,2022-07-07T20:30:00Z,0.0127,ppm
5610,2022-07-07T21:30:00Z,0.013,ppm
5610,2022-07-07T22:30:00Z,0.0125,ppm
5610,2022-07-07T23:30:00Z,0.0133,ppm
5610,2022-07-08T00:30:00Z,0.0137,ppm
5610,2022-07-08T01:30:00Z,0.0135,ppm
5610,2022-07-08T02:30:00Z,0.0133,ppm
5610,2022-07-08T03:30:00Z,0.0134,ppm
5610,2022-07-08T04:30:00Z,0.0131,ppm
5610,2022-07-08T05:30:00Z,0.0128,ppm
